original_id,original_input,true_label,model_output,orignal_language,task
0,"Augusto Santos Silva perguntou na Convenção Europeia do PS como é qu......	mostly true
ta	youturn.in	Nov 16, 2017 — ... செய்தி. கனடா நாட்டின் 150வது சுதந்திர தினத்தை முன்னிட்டு முதல் முறையாக அந்நாட்டின் தேசியக் கீதத்தை தமிழ் மொழியில் பாடியுள்ளனர் . ... பேசப்படும் அனைத்து மொழிகளிலும் தேசியக் கீதத்தைப் பாடியுள்ளனர்.	கனடா அரசு 150-வது சுதந்திர தினத்தை முன்னிட்டு அந்நாட்டு தேசிய கீதத்தை ... ஈழத்தமிழர்கள் ஏராளமானோர் வசிக்கும் கனடா நாட்டில் தமிழ் மொழிக்கு ... கனடா தேசிய கீதத்தின் தமிழ் மொழி ஆக்கம் கவிஞர் கந்தவனம் ... தமிழகத்தில் நாளை மறுநாள் முதல் மீண்டும் கனமழைக்கு ...	Claim: Canada celebrated 150th Independence day on June 1, 2019	Aug 13, 2017 — அந்நாட்டு தேசிய கீதத்தை தமிழில் வெளியிட்டு கவுரவம்! World ... ஒட்டவா: கனடா நாட்டின் 150வது சுதந்திர தினத்தை முன்னிட்டு அந்நாட்டு தேசிய ... இதற்காக தமிழ் மொழி உட்பட மொத்தம் 12 மொழிகளில் கனடா ... பீகாரில் அதிக இடங்களில் முன்னிலை வகித்து முதல் முறையாக ...	Jun 3, 2017 — இந்த சூழலில் கனடா நாட்டின் 150வது சுதந்திர தினம், வரும் ... 12 மொழிகளில் அந்நாட்டின் தேசிய கீதம் வெளியிடப்பட்டுள்ளன.	https://youturn.in/factcheck/canada-national-anthem-tamil.html	http://www.puthiyathalaimurai.com/newsview/6225/Canada-s-national-song-released-in-tamil	https://tamil.factcrescendo.com/factcheck-canada-celebrated-150th-independence-day-on-june-1-2019/	https://tamil.oneindia.com/news/international/canada-national-anthem-has-been-released-tamil-284874.html	https://tamil.samayam.com/latest-news/international-news/canada-made-their-national-anthem-in-to-tamil/articleshow/58973603.cms	none	2017-11-16T00:00:00Z	Social media users	கனடா நாட்டின் 150வது சுதந்திர தினத்தை முன்னிட்டு முதல் முறையாக அந்நாட்டின் தேசியக் கீதத்தை தமிழ் மொழியில் பாடியுள்ளனர்	partly true/misleading
pt	poligrafo.sapo.pt	Em publicação partilhada viralmente nas redes sociais destaca-se que a cafeína, por ser rica em antioxidantes e minerais"", é uma substância que impede...","Em publicação partilhada viralmente nas redes sociais destaca-se que a cafeína, por ser rica em “antioxidantes e minerais“, é uma substância que impede que ...",50,pt,gemini-zero-shot-100-threshold
1,"Eles [do Instituto Butantan] pegam o adenovírus, pegam a proteína do coronavírus, e colocam nesse adenovírus",false,100,pt,gemini-zero-shot-100-threshold
2,"Isto nunca tinha sido feito na História, escreveu o Presidente dos ......",false,0,pt,gemini-zero-shot-100-threshold
3,"Cortou a suntuosa verba do Carnaval e outros eventos, passando a responsabilidade a ser dos próprios idealizadores",false,50,pt,gemini-zero-shot-100-threshold
4,SERÁ VERDADE. OLHA A SAFADEZA PRA DIZER QUE O NÚMERO DE INFECTADO ESTA AUMENTANDO,false,50,pt,gemini-zero-shot-100-threshold
5,Fui a primeira [entre os candidatos] a dialogar com eles [Transparência Internacional],true,50,pt,gemini-zero-shot-100-threshold
6,مقطع فيديو يوثق اعتداء شبان على الشرطة المصرية، ولكن نشطاء الإخوان المسلمين استخدموه لتضليل الرأي العام، فهو لهجوم على آليات عسكرية تابعة للاحتلال الإسرائيلي في مدينة غزة.,partly true/misleading,0,ar,gemini-zero-shot-100-threshold
7,Nunca aconteceram incidentes graves [durante missões GLO] que viessem a manchar essa atuação das Forças Armadas,partly true/misleading,70,pt,gemini-zero-shot-100-threshold
8,"ტურიზმის საინფორმაციო ცენტრი ბიუჯეტის დიდ ნაწილს ხელფასებში, პრემიებსა და მივლინებებში ხარჯავს",mostly true,0,ka,gemini-zero-shot-100-threshold
9,martineli என்ற பெயரில் ஒரு வீடியோ வாட்ஸ்அப்பில் வெளியிடப்படுகிறது. அதை ஓப்பன் செய்ய வேண்டாம் . ஒரு வேளை ஓப்பன் செய்தால் உங்கள் போனில் உள்ள தகவல்களை 10 வினாடியில் ஹக் செய்து விடும். எனவே உங்கள் நண்பர்களுக்கும் இந்த தகவலை ஷேர் செய்யுங்கள்.,false,10,ta,gemini-zero-shot-100-threshold
